# 宽度表：半角 1 个单位，全角 2 个单位。
# 每行一个区间，格式：起始码位 结束码位 宽度。表里没有的码位按默认宽度算。

U+0009 U+0009 1    # 制表符
U+0020 U+007E 1    # ASCII 可打印字符与空格
U+00A0 U+024F 1    # 拉丁字母扩展
U+2000 U+206F 2    # 通用标点：省略号、破折号按中文惯例算全角
U+2460 U+24FF 2    # 带圈数字
U+2500 U+257F 2    # 制表符号
U+25A0 U+25FF 2    # 几何图形
U+2E80 U+2EFF 2    # 中日韩部首补充
U+3000 U+303F 2    # 中日韩符号与标点
U+3040 U+30FF 2    # 平假名、片假名
U+31C0 U+31EF 2    # 中日韩笔划
U+3400 U+4DBF 2    # 扩展 A 区汉字
U+4E00 U+9FFF 2    # 中日韩统一汉字
U+F900 U+FAFF 2    # 兼容汉字
U+FE30 U+FE4F 2    # 兼容形式
U+FF01 U+FF60 2    # 全角形式
U+FF61 U+FF9F 1    # 半角片假名
U+FFE0 U+FFE6 2    # 全角符号

默认 1
